Individual Trophies,,,,
Year,S/F,Title,Winner,Franchise
2025,Spring,Mens Scratch,Terrence Chambers,Gutterglory
2025,Spring,Womens Scratch,Erin Biggerstaff,Valley of the Balls
2025,Spring,Handicap,Vance Woods,Bowlonomics
2024,Fall,Womens Scratch,Erin Biggerstaff,Valley of the Balls
2024,Fall,Handicap,Jack Driver,Stinky Cheese
2024,Fall,Mens Scratch,Mike DePasquale,Grandma's Teeth
2024,Spring,Mens Scratch,Eric Thomas,Wolf Splitzers
2024,Spring,Womens Scratch,Erin Biggerstaff,Valley of the Balls
2024,Spring,Handicap,Matt Vogt,Wild Llamas
2023,Fall,Womens Scratch,Amy Kostrewa,E-Bowla
2023,Fall,Handicap,John Terribili,Gutter Mouths
2023,Fall,Mens Scratch,Keith Walker,Lucky Strikes
2023,Spring,Womens Scratch,Amy Kostrewa,E-Bowla
2023,Spring,Mens Scratch,Dylan Harris,Smoke-A-Bowl
2023,Spring,Handicap,Mike Morrone,Vandal-Lane Industries
2022,Fall,Womens Scratch,Amy Kostrewa,E-Bowla
2022,Fall,Mens Scratch,Cameron Dye,Sparadigm Shift
2022,Fall,Handicap,Jaimie Lea,Fancy Pants
2022,Spring,Womens Scratch,Amy Kostrewa,E-Bowla
2022,Spring,Handicap,Mike Morrone,Vandal-Lane Industries
2022,Spring,Mens Scratch,Paul Marsh,Hot Shotz
2021,Fall,Womens Scratch,Amy Kostrewa,E-Bowla
2021,Fall,Mens Scratch,Nate Sisco,Stinky Cheese
2021,Fall,Handicap,Nick Cain,Wolf Splitzers
2020,Covid,Handicap,Chris Klindt,Stinky Elefante
2020,Covid,Mens Scratch,Nate Sisco,Elegant Cheese
2020,Covid,Womens Scratch,Tracy Wills,She-Bowla
2019,Fall,Womens Scratch,Kristie Porter,Bowl'd Peanuts
2019,Fall,Handicap,Land Arnold,Mom Ballerz
2019,Fall,Mens Scratch,Nate Sisco,Stinky Cheese
2019,Spring,Mens Scratch,Eric Thomas,Wolf Splitzers
2019,Spring,Womens Scratch,Mirla del Rosario,Lucky Strikes
2019,Spring,Handicap,Steve Stanczyk,Wild Llamas
2018,Fall,Handicap,Bill Jenniches,Gutterglory
2018,Fall,Mens Scratch,Mike DePasquale,Gutter Mouths
2018,Fall,Womens Scratch,Mirla del Rosario,Lucky Strikes
2018,Spring,Womens Scratch,Brooke Insley,Gutter Mouths
2018,Spring,Mens Scratch,Eric Thomas,Wolf Splitzers
2018,Spring,Handicap,Jon Hunt,Valley of the Balls
2017,Fall,Handicap,Alex Rubenstein,Wolf Splitzers
2017,Fall,Womens Scratch,Amy Kostrewa,E-Bowla
2017,Fall,Mens Scratch,Tony Lawrence,The Boom Kings
2017,Spring,Mens Scratch,Eric Thomas,Wolf Splitzers
2017,Spring,Handicap,Jesse Troy,Wild Llamas
2017,Spring,Womens Scratch,Kristie Porter,Bowl'd Peanuts
2016,Fall,Handicap,Jesse Troy,Wild Llamas
2016,Fall,Mens Scratch,Tony Lawrence,The Boom Kings
2016,Fall,Womens Scratch,Tracy Wills,E-Bowla
2016,Spring,Womens Scratch,Amy Kostrewa,E-Bowla
2016,Spring,Handicap,James Mwalili,Vandal-Lane Industries
2016,Spring,Mens Scratch,Nate Sisco,Stinky Cheese
2015,Fall,Handicap,Enrico Boarati,Stinky Cheese
2015,Fall,Mens Scratch,Mike DePasquale,Wild Llamas
2015,Fall,Womens Scratch,Mirla del Rosario,Lucky Strikes
2015,Spring,Womens Scratch,Amy Kostrewa,E-Bowla
2015,Spring,Mens Scratch,Bill Jenniches,Gutterglory
2015,Spring,Handicap,Scott Jeffries,The Boom Kings
2014,Fall,Handicap,Dave Eiselman,Jive Turkeys
2014,Fall,Mens Scratch,Jason Jones,Sparely Legal
2014,Fall,Womens Scratch,Kristie Porter,Bowl'd Peanuts
2014,Spring,Mens Scratch,Geoffrey Berry,Bowl'd Peanuts
2014,Spring,Handicap,Jessie Yonac,Valley of the Balls
2014,Spring,Womens Scratch,Mirla del Rosario,Lucky Strikes
2013,Fall,Mens Scratch,Geoffrey Berry,Bowl'd Peanuts
2013,Fall,Womens Scratch,Kristie Porter,Bowl'd Peanuts
2013,Fall,Handicap,Mark Oates,Wild Llamas
2013,Spring,Mens Scratch,Geoffrey Berry,Bowl'd Peanuts
2013,Spring,Womens Scratch,Karen Merowchek,Vandal-Lane Industries
2013,Spring,Handicap,Nick Cain,Wolf Splitzers
2012,Fall,Handicap,Brian Williams,Spare Club For Men
2012,Fall,Womens Scratch,Mirla del Rosario,Lucky Strikes
2012,Fall,Mens Scratch,Russ Dean,Lucky Strikes
2012,Spring,Womens Scratch,Amy Kostrewa,E-Bowla
2012,Spring,Mens Scratch,Geoffrey Berry,Bowl'd Peanuts
2012,Spring,Handicap,Viva Massung,Pin Pricks
2011,Fall,Womens Scratch,Karen Merowchek,Vandal-Lane Industries
2011,Fall,Handicap,Kyle York,Solid Bowled
2011,Fall,Mens Scratch,Spott Philpott,E-Bowla
2011,Spring,Mens Scratch,Spott Philpott,E-Bowla
2011,Spring,Handicap,Steve Dalton,Spare Club For Men
2010,Fall,Mens Scratch,Paul Marsh,Hot Shotz
2010,Fall,Handicap,Sarah Martin,Pin-Ups
2010,Spring,Handicap,Scott Berrier,Gutterglory
2010,Spring,Mens Scratch,Scott Berrier,Gutterglory
2009,Fall,Handicap,Genevieve d'Entremont,Gutter Mouths
2009,Fall,Mens Scratch,Geoffrey Berry,Bowl'd Peanuts
2009,Spring,Handicap,Geoffrey Berry,Bowl'd Peanuts
2009,Spring,Mens Scratch,Mark Koyanagi,Gutterglory
2008,Spring/Fall,Handicap,Paul Marsh,Hot Shotz
2008,Spring/Fall,Mens Scratch,Russ Dean,Lucky Strikes
2007,Spring/Fall,Handicap,Kyle Hanlin,Lucky Strikes
2007,Spring/Fall,Mens Scratch,Kyle Hanlin,Lucky Strikes
