,,,,,,,,,Season
A,1,Smoke-A-Bowl,18,5,7,4,523.2 (14),874.2 (8),XXXV
A,1,Valley of the Balls,18,9,6,6,592.9 (4),898.2 (3),XXXV
A,3,Thoughts and Spares,17,4,6,5,563.9 (8),871.6 (10),XXXV
A,4,Bowl Durham,15,7,5,5,442.0 (19),877.0 (7),XXXV
A,5,HOT FUN,14,6,5,4,518.9 (15),865.6 (14),XXXV
A,6,Fancy Pants,12,2,4,4,510.4 (17),871.4 (11),XXXV
A,7,Living on a Spare,11,4,3,5,384.1 (20),872.7 (9),XXXV
A,8,Alley Oops,10,6,3,4,512.9 (16),852.9 (17),XXXV
A,9,Wild Llamas,9,0,3,3,562.9 (9),840.9 (19),XXXV
A,9,Pin-Ups,9,2,3,3,534.3 (13),837.7 (20),XXXV
B,1,Hot Shotz,23,7,9,5,576.1 (6),880.4 (5),XXXV
B,2,Guttermouths,19,7,6,7,567.8 (7),905.1 (1),XXXV
B,3,E-Bowla,16,4,5.5,5,584.4 (5),881.1 (4),XXXV
B,4,Stinky Cheese,14,2,5,4,633.2 (1),879.9 (6),XXXV
B,4,Grandma's Teeth,14,5,5,4,606.1 (2),863.8 (15),XXXV
B,6,Sparadigm Shift,13,5,2,9,534.8 (12),899.1 (2),XXXV
B,7,The Boom Kings,12,5,4,4,556.1 (10),869.4 (13),XXXV
B,8,Lucky Strikes,11,4,3,5,596.7 (3),871.3 (12),XXXV
B,9,Gutterglory,10,6,3.5,3,555.8 (11),850.4 (18),XXXV
B,10,Guttersnipes,6,0,2,2,490.2 (18),854.6 (16),XXXV
,,,,,,,,,
A,1,Bowlonomics,61,7,20,21,565.0 (9),898.5 (2),XXXIV
A,2,Grandma's Teeth,55,5,17,21,612.6 (2),907.1 (1),XXXIV
A,3,Valley of the Balls,42,7,15,12,575.9 (7),886.6 (6),XXXIV
A,3,Guttermouths,42,8,13,16,539.3 (13),882.2 (9),XXXIV
A,5,Bowl Durham,40,2,15,10,455.6 (19),875.5 (15),XXXIV
A,6,Gutterglory,39,3,12,15,571.9 (8),886.5 (7),XXXIV
A,7,Fancy Pants,37,6,12,13,514.6 (17),880.6 (11),XXXIV
A,8,E-Bowla,35,6,11,13,587.8 (6),876.8 (14),XXXIV
A,9,Wild Llamas,34,0,10,14,604.2 (5),878.5 (13),XXXIV
