SPLITZKRIEG SCHEDULE SEASON XX,,,,,,,
,,,Lane,,,,Lane
,,,,,,,
17-Jul,Valley Of The Balls,Jive Turkeys,25/26,25-Sep,Sparadigm Shift,Fancy Pants,25/26
,Pin-Ups,Village Idiots,23/24,,Gutterglory,Valley Of The Balls,23/24
,Bowl'd Peanuts,Hamboners,21/22,,E-Bowla,Werewolf Splitzers,21/22
,The Guttersnipes,Strichael Bowlton,19/20,,The Boom Kings,Bowl'd Peanuts,19/20
,Mom Ballerz,Sparadigm Shift,17/18,,Jive Turkeys,Pin-Ups,17/18
,Werewolf Splitzers,Bowling Stones,15/16,,Bowling Stones,The Guttersnipes,15/16
,Lucky Strikes,Gutter Mouths,13/14,,Village Idiots,Lucky Strikes,13/14
,Fancy Pants,Gutterglory,11/12,,Gutter Mouths,Mom Ballerz,11/12
,Stinky Cheese,E-Bowla,9/10,,Strichael Bowlton,Hot Shotz,9/10
,Hot Shotz,The Boom Kings,7/8,,Hamboners,Stinky Cheese,7/8
,,,,,,,
31-Jul,Strichael Bowlton,The Boom Kings,25/26,9-Oct,E-Bowla,Strichael Bowlton,25/26
,Bowling Stones,Hamboners,23/24,,Stinky Cheese,The Guttersnipes,23/24
,Jive Turkeys,Sparadigm Shift,21/22,,Fancy Pants,Pin-Ups,21/22
,Lucky Strikes,Gutterglory,19/20,,Sparadigm Shift,Valley Of The Balls,19/20
,Werewolf Splitzers,Stinky Cheese,17/18,,Bowl'd Peanuts,Hot Shotz,17/18
,Village Idiots,Gutter Mouths,15/16,,Gutterglory,Village Idiots,15/16
,Hot Shotz,E-Bowla,13/14,,Hamboners,Werewolf Splitzers,13/14
,The Guttersnipes,Bowl'd Peanuts,11/12,,The Boom Kings,Bowling Stones,11/12
,Pin-Ups,Mom Ballerz,9/10,,Gutter Mouths,Jive Turkeys,9/10
,Valley Of The Balls,Fancy Pants,7/8,,Mom Ballerz,Lucky Strikes,7/8
,,,,,,,
14-Aug,Bowling Stones,E-Bowla,25/26,23-Oct,Pin-Ups,Valley Of The Balls,25/26
,Stinky Cheese,Bowl'd Peanuts,23/24,,Lucky Strikes,Jive Turkeys,23/24
,Fancy Pants,Mom Ballerz,21/22,,Hot Shotz,Bowling Stones,21/22
,Village Idiots,Valley Of The Balls,19/20,,Stinky Cheese,The Boom Kings,19/20
,Hamboners,Hot Shotz,17/18,,Mom Ballerz,Village Idiots,17/18
,Jive Turkeys,Gutterglory,15/16,,Bowl'd Peanuts,Strichael Bowlton,15/16
,Strichael Bowlton,Werewolf Splitzers,13/14,,Fancy Pants,Gutter Mouths,13/14
,The Boom Kings,The Guttersnipes,11/12,,Gutterglory,Sparadigm Shift,11/12
,Gutter Mouths,Pin-Ups,9/10,,E-Bowla,Hamboners,9/10
,Sparadigm Shift,Lucky Strikes,7/8,,The Guttersnipes,Werewolf Splitzers,7/8
,,,,,,,
28-Aug,Hot Shotz,The Guttersnipes,25/26,6-Nov,Gutterglory,Mom Ballerz,25/26
,Bowl'd Peanuts,Werewolf Splitzers,23/24,,Lucky Strikes,Fancy Pants,23/24
,Mom Ballerz,Valley Of The Balls,21/22,,E-Bowla,Bowl'd Peanuts,21/22
,Fancy Pants,Jive Turkeys,19/20,,The Guttersnipes,Hamboners,19/20
,The Boom Kings,E-Bowla,17/18,,Valley Of The Balls,Gutter Mouths,17/18
,Lucky Strikes,Pin-Ups,15/16,,Hot Shotz,Stinky Cheese,15/16
,Stinky Cheese,Bowling Stones,13/14,,Pin-Ups,Sparadigm Shift,13/14
,Hamboners,Strichael Bowlton,11/12,,Jive Turkeys,Village Idiots,11/12
,Sparadigm Shift,Village Idiots,9/10,,Bowling Stones,Strichael Bowlton,9/10
,Gutter Mouths,Gutterglory,7/8,,Werewolf Splitzers,The Boom Kings,7/8
,,,,,,,
11-Sep,Village Idiots,Fancy Pants,25/26,13-Nov,Playoffs (1st rd),,
,Gutter Mouths,Sparadigm Shift,23/24,20-Nov,Playoffs (Finals),,
,Strichael Bowlton,Stinky Cheese,21/22,,,,
,Bowling Stones,Bowl'd Peanuts,19/20,,If you are down a,,
,Gutterglory,Pin-Ups,17/18,,bowler (best to ,,
,Werewolf Splitzers,Hot Shotz,15/16,,worst solution):,,
,Jive Turkeys,Mom Ballerz,13/14,,1. Eligible Subs,,
,Valley Of The Balls,Lucky Strikes,11/12,,2. Prebowling ,,
,The Boom Kings,Hamboners,9/10,,3. New Subs ,,
,E-Bowla,The Guttersnipes,7/8,,4. Penalty,,
