Week,Match,Season XXXIV,Start Date:,1/19/26,DIVISIONS,,
1,1,HOT FUN,Valley of the Balls,1/2,HOT FUN,A,2026-01-19
1,2,Bowl Durham,Alley Oops,3/4,Valley of the Balls,A,2026-01-19
1,3,Fancy Pants,Living on a Spare,5/6,Bowl Durham,A,2026-01-19
1,4,Wild Llamas,Thoughts and Spares,7/8,Fancy Pants,A,2026-01-19
1,5,Pin-Ups,Smoke-A-Bowl,9/10,Wild Llamas,A,2026-01-19
1,6,Grandma's Teeth,Guttermouths,11/12,Pin-Ups,A,2026-01-19
1,7,Gutterglory,Hot Shotz,13/14,Smoke-A-Bowl,A,2026-01-19
1,8,E-Bowla,The Boom Kings,15/16,Thoughts and Spares,A,2026-01-19
1,9,Sparadigm Shift,Lucky Strikes,17/18,Living on a Spare,A,2026-01-19
1,10,Guttersnipes,Stinky Cheese,19/20,Alley Oops,A,2026-01-19
2,11,Fancy Pants,Wild Llamas,1/2,Grandma's Teeth,B,2026-02-09
2,12,Gutterglory,Guttersnipes,3/4,Guttermouths,B,2026-02-09
2,13,Alley Oops,Thoughts and Spares,5/6,Gutterglory,B,2026-02-09
2,14,Grandma's Teeth,The Boom Kings,7/8,E-Bowla,B,2026-02-09
2,15,HOT FUN,Living on a Spare,9/10,Sparadigm Shift,B,2026-02-09
2,16,Hot Shotz,Lucky Strikes,11/12,Guttersnipes,B,2026-02-09
2,17,Valley of the Balls,Smoke-A-Bowl,13/14,Stinky Cheese,B,2026-02-09
2,18,Guttermouths,Stinky Cheese,15/16,Lucky Strikes,B,2026-02-09
2,19,Bowl Durham,Pin-Ups,17/18,The Boom Kings,B,2026-02-09
2,20,E-Bowla,Sparadigm Shift,19/20,Hot Shotz,B,2026-02-09
3,21,Gutterglory,E-Bowla,1/2,,,2026-02-23
3,22,Valley of the Balls,Wild Llamas,3/4,,,2026-02-23
3,23,Hot Shotz,Guttersnipes,5/6,,,2026-02-23
3,24,Bowl Durham,Fancy Pants,7/8,,,2026-02-23
3,25,Guttermouths,Sparadigm Shift,9/10,,,2026-02-23
3,26,Living on a Spare,Smoke-A-Bowl,11/12,,,2026-02-23
3,27,Grandma's Teeth,Lucky Strikes,13/14,,,2026-02-23
3,28,HOT FUN,Thoughts and Spares,15/16,,,2026-02-23
3,29,The Boom Kings,Stinky Cheese,17/18,,,2026-02-23
3,30,Alley Oops,Pin-Ups,19/20,,,2026-02-23
4,31,Living on a Spare,Wild Llamas,1/2,,,2026-03-09
4,32,Grandma's Teeth,Stinky Cheese,3/4,,,2026-03-09
4,33,Valley of the Balls,Bowl Durham,5/6,,,2026-03-09
4,34,Hot Shotz,E-Bowla,7/8,,,2026-03-09
4,35,Alley Oops,Fancy Pants,9/10,,,2026-03-09
4,36,The Boom Kings,Sparadigm Shift,11/12,,,2026-03-09
4,37,Thoughts and Spares,Pin-Ups,13/14,,,2026-03-09
4,38,Lucky Strikes,Guttersnipes,15/16,,,2026-03-09
4,39,HOT FUN,Smoke-A-Bowl,17/18,,,2026-03-09
4,40,Guttermouths,Gutterglory,19/20,,,2026-03-09
5,41,Stinky Cheese,Sparadigm Shift,1/2,,,2026-03-23
5,42,HOT FUN,Pin-Ups,3/4,,,2026-03-23
5,43,Lucky Strikes,E-Bowla,5/6,,,2026-03-23
5,44,Thoughts and Spares,Fancy Pants,7/8,,,2026-03-23
5,45,Grandma's Teeth,Guttersnipes,9/10,,,2026-03-23
5,46,Alley Oops,Valley of the Balls,11/12,,,2026-03-23
5,47,Hot Shotz,Guttermouths,13/14,,,2026-03-23
5,48,Living on a Spare,Bowl Durham,15/16,,,2026-03-23
5,49,The Boom Kings,Gutterglory,17/18,,,2026-03-23
5,50,Smoke-A-Bowl,Wild Llamas,19/20,,,2026-03-23
6,51,Pin-Ups,Fancy Pants,1/2,,,2026-04-06
6,52,Lucky Strikes,Guttermouths,3/4,,,2026-04-06
6,53,HOT FUN,Wild Llamas,5/6,,,2026-04-06
6,54,Stinky Cheese,Gutterglory,7/8,,,2026-04-06
6,55,Smoke-A-Bowl,Bowl Durham,9/10,,,2026-04-06
6,56,Guttersnipes,E-Bowla,11/12,,,2026-04-06
6,57,Living on a Spare,Alley Oops,13/14,,,2026-04-06
6,58,Grandma's Teeth,Sparadigm Shift,15/16,,,2026-04-06
6,59,Thoughts and Spares,Valley of the Balls,17/18,,,2026-04-06
6,60,The Boom Kings,Hot Shotz,19/20,,,2026-04-06
7,61,Grandma's Teeth,Hot Shotz,1/2,,,2026-04-13
7,62,Valley of the Balls,Living on a Spare,3/4,,,2026-04-13
7,63,Guttermouths,The Boom Kings,5/6,,,2026-04-13
7,64,HOT FUN,Alley Oops,7/8,,,2026-04-13
7,65,Gutterglory,Lucky Strikes,9/10,,,2026-04-13
