Week,Team,Scratch Series,Handicap Series,W,XP,Pts
1,Alley Oops,1666,2590,1,2,4
1,Bowl Durham,1365,2574,2,1,5
1,HOT FUN,1482,2472,1,0,2
1,E-Bowla,1560,2484,1,1,3
1,Fancy Pants,1529,2588,2,2,6
1,Grandma's Teeth,1540,2374,0,0,0
1,Guttermouths,1723,2758,3,3,9
1,Gutterglory,1515,2373,0,0,0
1,Guttersnipes,1417,2581,1,2,4
1,Hot Shotz,1765,2671,3,3,9
1,Lucky Strikes,1903,2710,2,3,7
1,Pin-Ups,1417,2311,0,0,0
1,Smoke-A-Bowl,1516,2575,3,1,7
1,Sparadigm Shift,1571,2681,1,3,5
1,Stinky Cheese,1873,2632,2,2,6
1,The Boom Kings,1725,2682,2,3,7
1,Thoughts and Spares,1506,2520,2,1,5
1,Valley of the Balls,1732,2668,2,2,6
1,Living on a Spare,1238,2581,1,2,4
1,Wild Llamas,1537,2356,1,0,2
2,Alley Oops,1340,2354,0,0,0
2,Bowl Durham,1249,2578,1,1,3
2,HOT FUN,1562,2621,2,2,6
2,E-Bowla,1905,2781,3,3,9
2,Fancy Pants,1510,2644,1,2,4
2,Grandma's Teeth,2007,2763,3,3,9
2,Guttermouths,1601,2579,1,1,3
2,Gutterglory,1762,2545,2,0,4
2,Guttersnipes,1443,2490,1,0,2
2,Hot Shotz,1694,2594,3,1,7
2,Lucky Strikes,1642,2446,0,0,0
2,Pin-Ups,1755,2700,2,3,7
2,Smoke-A-Bowl,1584,2637,2,2,6
2,Sparadigm Shift,1602,2673,0,3,3
2,Stinky Cheese,1963,2653,2,2,6
2,The Boom Kings,1569,2490,0,0,0
2,Thoughts and Spares,1694,2627,3,2,8
2,Valley of the Balls,1588,2569,1,1,3
2,Living on a Spare,1086,2585,1,1,3
2,Wild Llamas,1848,2700,2,3,7
3,Alley Oops,1610,2732,2,2,6
3,Bowl Durham,1364,2741,2,3,7
3,HOT FUN,1626,2697,2,2,6
3,E-Bowla,1795,2665,1.5,1,4
3,Fancy Pants,1555,2611,1,0,2
3,Grandma's Teeth,1908,2637,2,1,5
3,Guttermouths,1786,2809,2,3,7
3,Gutterglory,1725,2736,1.5,3,6
3,Guttersnipes,1552,2620,0,0,0
3,Hot Shotz,1726,2659,3,1,7
