SPLITZKRIEG SEASON VIII
1,1,Jive Turkeys,Sparely Legal
1,2,Lucky Strikes,Pin Pricks
1,3,Spare Club For Men,The Boom Kings
1,4,Fancy Pants,Village Idiots
1,5,Wolf Splitzers,E-Bowla
1,6,Wild Llamas,Gutterglory
1,7,Gutter Mouths,Hot Shotz
1,8,Bowl'd Peanuts,Pin-Ups
1,9,Bull City Rollers,Roll Your Own
1,10,Rolling Pins,Solid Bowled
2,1,Bull City Rollers,Village Idiots
2,2,Pin Pricks,Hot Shotz
2,3,Fancy Pants,Bowl'd Peanuts
2,4,Lucky Strikes,E-Bowla
2,5,Wolf Splitzers,The Boom Kings
2,6,Solid Bowled,Roll Your Own
2,7,Rolling Pins,Gutterglory
2,8,Gutter Mouths,Sparely Legal
2,9,Jive Turkeys,Spare Club For Men
2,10,Wild Llamas,Pin-Ups
3,1,Hot Shotz,E-Bowla
3,2,Lucky Strikes,The Boom Kings
3,3,Rolling Pins,Pin-Ups
3,4,Solid Bowled,Village Idiots
3,5,Bowl'd Peanuts,Wild Llamas
3,6,Gutter Mouths,Jive Turkeys
3,7,Pin Pricks,Sparely Legal
3,8,Roll Your Own,Gutterglory
3,9,Bull City Rollers,Fancy Pants
3,10,Spare Club For Men,Wolf Splitzers
4,1,Gutter Mouths,Lucky Strikes
4,2,Sparely Legal,Spare Club For Men
4,3,Pin-Ups,Gutterglory
4,4,Wolf Splitzers,Pin Pricks
4,5,Jive Turkeys,Hot Shotz
4,6,Village Idiots,Bowl'd Peanuts
4,7,The Boom Kings,E-Bowla
4,8,Bull City Rollers,Rolling Pins
4,9,Fancy Pants,Roll Your Own
4,10,Wild Llamas,Solid Bowled
5,1,Sparely Legal,Hot Shotz
5,2,Wolf Splitzers,Gutter Mouths
5,3,Jive Turkeys,Lucky Strikes
5,4,The Boom Kings,Pin Pricks
5,5,Wild Llamas,Bull City Rollers
5,6,Village Idiots,Roll Your Own
5,7,Fancy Pants,Rolling Pins
5,8,Pin-Ups,Solid Bowled
5,9,Bowl'd Peanuts,Gutterglory
5,10,Spare Club For Men,E-Bowla
6,1,Jive Turkeys,Wolf Splitzers
6,2,Pin-Ups,Bull City Rollers
6,3,Hot Shotz,Spare Club For Men
6,4,Roll Your Own,Bowl'd Peanuts
6,5,E-Bowla,Pin Pricks
6,6,Fancy Pants,Wild Llamas
6,7,Sparely Legal,Lucky Strikes
6,8,The Boom Kings,Gutter Mouths
6,9,Gutterglory,Solid Bowled
6,10,Village Idiots,Rolling Pins
7,1,The Boom Kings,Jive Turkeys
7,2,Sparely Legal,Wolf Splitzers
7,3,E-Bowla,Gutter Mouths
7,4,Spare Club For Men,Pin Pricks
7,5,Village Idiots,Wild Llamas
7,6,Bowl'd Peanuts,Solid Bowled
7,7,Gutterglory,Bull City Rollers
7,8,Roll Your Own,Rolling Pins
7,9,Hot Shotz,Lucky Strikes
8,1,Lucky Strikes,Spare Club For Men
8,2,Hot Shotz,Wolf Splitzers
8,3,Sparely Legal,The Boom Kings
8,4,E-Bowla,Jive Turkeys
8,5,Gutterglory,Fancy Pants
8,6,Roll Your Own,Wild Llamas
8,7,Solid Bowled,Bull City Rollers
8,8,Village Idiots,Pin-Ups
8,9,Rolling Pins,Bowl'd Peanuts
8,10,Pin Pricks,Gutter Mouths
9,1,Gutter Mouths,Spare Club For Men
9,2,E-Bowla,Sparely Legal
9,3,Bowl'd Peanuts,Bull City Rollers
9,4,Lucky Strikes,Wolf Splitzers
9,5,Roll Your Own,Pin-Ups
9,6,Rolling Pins,Wild Llamas
9,7,Gutterglory,Village Idiots
9,8,Pin Pricks,Jive Turkeys
9,9,Hot Shotz,The Boom Kings
9,10,Solid Bowled,Fancy Pants
