SPLITZKRIEG SEASON VI
1,1,Bowl Derek,Bull City Rollers
1,2,Pin Pricks,E-Bowla
1,3,Gutter Mouths,Hot Shotz
1,4,Village Idiots,The Boom Kings
1,5,Beastie Balls,Spare Club For Men
1,6,Gutterglory,Fancy Pants
1,7,Sparely Legal,Solid Bowled
1,8,Pin-Ups,Lucky Strikes
1,9,Bowl'd Peanuts,Jive Turkeys
2,1,Lucky Strikes,Bull City Rollers
2,2,Jive Turkeys,Gutter Mouths
2,3,Bowl'd Peanuts,Gutterglory
2,4,Bowl Derek,Hot Shotz
2,5,Sparely Legal,The Boom Kings
2,6,Beastie Balls,Pin Pricks
2,7,Solid Bowled,Village Idiots
2,8,E-Bowla,Spare Club For Men
2,9,Fancy Pants,Pin-Ups
3,1,Lucky Strikes,Solid Bowled
3,2,Spare Club For Men,Jive Turkeys
3,3,Bull City Rollers,Beastie Balls
3,4,Gutter Mouths,Bowl Derek
3,5,Village Idiots,Fancy Pants
3,6,Hot Shotz,Pin Pricks
3,7,Gutterglory,Pin-Ups
3,8,Bowl'd Peanuts,Sparely Legal
3,9,The Boom Kings,E-Bowla
4,1,Lucky Strikes,Sparely Legal
4,2,Spare Club For Men,Bull City Rollers
4,3,Jive Turkeys,Beastie Balls
4,4,Gutter Mouths,Gutterglory
4,5,The Boom Kings,Fancy Pants
4,6,Bowl Derek,Pin Pricks
4,7,Village Idiots,Pin-Ups
4,8,Bowl'd Peanuts,Solid Bowled
4,9,Hot Shotz,E-Bowla
5,1,Gutterglory,Village Idiots
5,2,Spare Club For Men,Sparely Legal
5,3,Jive Turkeys,Hot Shotz
5,4,Gutter Mouths,Pin Pricks
5,5,The Boom Kings,Lucky Strikes
5,6,Bowl Derek,Beastie Balls
5,7,Solid Bowled,Pin-Ups
5,8,Bowl'd Peanuts,Fancy Pants
5,9,Bull City Rollers,E-Bowla
6,1,Gutterglory,Solid Bowled
6,2,Spare Club For Men,Pin Pricks
6,3,Fancy Pants,Hot Shotz
6,4,Sparely Legal,Village Idiots
6,5,Bull City Rollers,Jive Turkeys
6,6,Gutter Mouths,Beastie Balls
6,7,The Boom Kings,Pin-Ups
6,8,Bowl'd Peanuts,Lucky Strikes
6,9,Bowl Derek,E-Bowla
7,1,Bowl'd Peanuts,The Boom Kings
7,2,Spare Club For Men,Gutter Mouths
7,3,Bull City Rollers,Pin Pricks
7,4,Solid Bowled,Fancy Pants
7,5,Village Idiots,Lucky Strikes
7,6,Beastie Balls,Hot Shotz
7,7,Sparely Legal,Gutterglory
7,8,Pin-Ups,Bowl Derek
7,9,Jive Turkeys,E-Bowla
8,1,Village Idiots,Pin Pricks
8,2,Solid Bowled,The Boom Kings
8,3,Beastie Balls,E-Bowla
8,4,Gutterglory,Lucky Strikes
8,5,Sparely Legal,Fancy Pants
8,6,Spare Club For Men,Hot Shotz
8,7,Bowl'd Peanuts,Pin-Ups
8,8,Jive Turkeys,Bowl Derek
8,9,Bull City Rollers,Gutter Mouths
9,1,Solid Bowled,Beastie Balls
9,2,Sparely Legal,Pin-Ups
9,3,Hot Shotz,Bull City Rollers
9,4,Pin Pricks,Jive Turkeys
9,5,Spare Club For Men,Bowl Derek
9,6,Bowl'd Peanuts,Village Idiots
9,7,Fancy Pants,Lucky Strikes
9,8,Gutterglory,The Boom Kings
9,9,Gutter Mouths,E-Bowla
