SPLITZKRIEG SCHEDULE SEASON XII,,,,,,,,,,
,,,Lane,,,,Lane,,team,divisions
,,,,,,,,,Gutterglory,A
13-Jan,Fancy Pants,Roll Your Own,39/40,24-Mar,On the Bowl,Pin Pricks,39/40,,Valley of the Balls,A
,Wolf Splitzers,Jive Turkeys,37/38,,Valley of the Balls,Gutterglory,37/38,,Gutter Mouths,A
,Hot Shotz,Pin-Ups,35/36,,Bowl'd Peanuts,Village Idiots,35/36,,Bull City Rollers,A
,Sparely Legal,Lucky Strikes,33/34,,Gutter Mouths,Bull City Rollers,33/34,,E-Bowla,A
,Wild Llamas,The Boom Kings,31/32,,Solid Bowled,E-Bowla,31/32,,Village Idiots,A
,On the Bowl,Bowl'd Peanuts,29/30,,Fancy Pants,Hot Shotz,29/30,,Bowl'd Peanuts,A
,E-Bowla,Valley of the Balls,27/28,,Jive Turkeys,Wild Llamas,27/28,,On the Bowl,A
,Pin Pricks,Gutter Mouths,25/26,,Roll Your Own,Sparely Legal,25/26,,Solid Bowled,A
,Village Idiots,Bull City Rollers,23/24,,Pin-Ups,Lucky Strikes,23/24,,Pin Pricks,A
,Gutterglory,Solid Bowled,21/22,,The Boom Kings,Wolf Splitzers,21/22,,,
,,,,,,,,,Wild Llamas,B
27-Jan,Gutter Mouths,Bowl'd Peanuts,39/40,7-Apr,Lucky Strikes,The Boom Kings,39/40,,Wolf Splitzers,B
,E-Bowla,Gutterglory,37/38,,Sparely Legal,Pin-Ups,37/38,,Jive Turkeys,B
,Solid Bowled,Valley of the Balls,35/36,,Fancy Pants,Wolf Splitzers,35/36,,Lucky Strikes,B
,Bull City Rollers,On the Bowl,33/34,,Hot Shotz,Jive Turkeys,33/34,,The Boom Kings,B
,Village Idiots,Pin Pricks,31/32,,Wild Llamas,Roll Your Own,31/32,,Fancy Pants,B
,Pin-Ups,Roll Your Own,29/30,,Bull City Rollers,Solid Bowled,29/30,,Hot Shotz,B
,Wolf Splitzers,Wild Llamas,27/28,,Village Idiots,Gutter Mouths,27/28,,Pin-Ups,B
,The Boom Kings,Jive Turkeys,25/26,,On the Bowl,E-Bowla,25/26,,Roll Your Own,B
,Lucky Strikes,Fancy Pants,23/24,,Pin Pricks,Valley of the Balls,23/24,,Sparely Legal,B
,Sparely Legal,Hot Shotz,21/22,,Gutterglory,Bowl'd Peanuts,21/22,,,
,,,,,,,,,,
10-Feb,Lucky Strikes,Roll Your Own,39/40,21-Apr,Village Idiots,E-Bowla,39/40,,,
,The Boom Kings,Pin-Ups,37/38,,Bowl'd Peanuts,Valley of the Balls,37/38,,,
,Sparely Legal,Jive Turkeys,35/36,,Bull City Rollers,Gutterglory,35/36,,,
,Wild Llamas,Fancy Pants,33/34,,Solid Bowled,Pin Pricks,33/34,,,
,Wolf Splitzers,Hot Shotz,31/32,,Gutter Mouths,On the Bowl,31/32,,,
,Solid Bowled,Gutter Mouths,29/30,,Sparely Legal,Wolf Splitzers,29/30,,,
,Bull City Rollers,Bowl'd Peanuts,27/28,,Roll Your Own,Jive Turkeys,27/28,,,
,Village Idiots,Valley of the Balls,25/26,,Lucky Strikes,Wild Llamas,25/26,,,
,Gutterglory,On the Bowl,23/24,,The Boom Kings,Hot Shotz,23/24,,,
,E-Bowla,Pin Pricks,21/22,,Pin-Ups,Fancy Pants,21/22,,,
,,,,,,,,,,
24-Feb,E-Bowla,Bull City Rollers,39/40,5-May,Wild Llamas,Sparely Legal,39/40,,,
,Bowl'd Peanuts,Pin Pricks,37/38,,Fancy Pants,The Boom Kings,37/38,,,
,Gutter Mouths,Gutterglory,35/36,,Hot Shotz,Lucky Strikes,35/36,,,
,Solid Bowled,Village Idiots,33/34,,Roll Your Own,Wolf Splitzers,33/34,,,
,Valley of the Balls,On the Bowl,31/32,,Jive Turkeys,Pin-Ups,31/32,,,
,Wolf Splitzers,Lucky Strikes,29/30,,Gutterglory,Village Idiots,29/30,,,
,Roll Your Own,Hot Shotz,27/28,,On the Bowl,Solid Bowled,27/28,,,
,Pin-Ups,Wild Llamas,25/26,,Pin Pricks,Bull City Rollers,25/26,,,
,The Boom Kings,Sparely Legal,23/24,,Bowl'd Peanuts,E-Bowla,23/24,,,
,Jive Turkeys,Fancy Pants,21/22,,Valley of the Balls,Gutter Mouths,21/22,,,
,,,,,,,,,,
10-Mar,Hot Shotz,Wild Llamas,39/40,13-May,Playoffs (1st rd),,,,,
,Fancy Pants,Sparely Legal,37/38,20-May,Playoffs (Finals),,,,,
,Roll Your Own,The Boom Kings,35/36,,,,,,,
,Wolf Splitzers,Pin-Ups,33/34,,If you are down a,,,,,
,Jive Turkeys,Lucky Strikes,31/32,,bowler (best to ,,,,,
,Pin Pricks,Gutterglory,29/30,,worst solution):,,,,,
,On the Bowl,Village Idiots,27/28,,1. Eligible Subs,,,,,
,Bowl'd Peanuts,Solid Bowled,25/26,,2. Prebowling ,,,,,
,E-Bowla,Gutter Mouths,23/24,,3. New Subs ,,,,,
,Valley of the Balls,Bull City Rollers,21/22,,4. Penalty,,,,,
