SPLITZKRIEG SCHEDULE SEASON XIV,,,,,,,,,,
,,,Lane,,,,Lane,,,
,,,,,,,,,team,division
14-Jul,Sparely Legal,Roll Your Own,39/40,22-Sep,Solid Bowled,Hot Shotz,39/40,,Bowl'd Peanuts,A
,Wild Llamas,The Guttersnipes,37/38,,Pin-Ups,Fancy Pants,37/38,,Lucky Strikes,A
,Pin Pricks,Village Idiots,35/36,,Bowl'd Peanuts,Bull City Rollers,35/36,,Bull City Rollers,A
,Jive Turkeys,E-Bowla,33/34,,The Boom Kings,Lucky Strikes,33/34,,Gutter Mouths,A
,Valley Of The Balls,Blame It On the Lane,31/32,,Gutter Mouths,Gutterglory,31/32,,The Boom Kings,A
,Solid Bowled,Bowl'd Peanuts,29/30,,Sparely Legal,Pin Pricks,29/30,,Hot Shotz,A
,Gutterglory,Pin-Ups,27/28,,The Guttersnipes,Valley Of The Balls,27/28,,Fancy Pants,A
,Hot Shotz,The Boom Kings,25/26,,Roll Your Own,Jive Turkeys,25/26,,Pin-Ups,A
,Bull City Rollers,Lucky Strikes,23/24,,Village Idiots,E-Bowla,23/24,,Solid Bowled,A
,Fancy Pants,Gutter Mouths,21/22,,Blame It On the Lane,Wild Llamas,21/22,,Gutterglory,A
,,,,,,,,,,
28-Jul,The Boom Kings,Bowl'd Peanuts,39/40,6-Oct,E-Bowla,Blame It On the Lane,39/40,,Valley of the Balls,B
,Gutterglory,Fancy Pants,37/38,,Jive Turkeys,Village Idiots,37/38,,Jive Turkeys,B
,Gutter Mouths,Pin-Ups,35/36,,Sparely Legal,Wild Llamas,35/36,,E-Bowla,B
,Lucky Strikes,Solid Bowled,33/34,,Pin Pricks,The Guttersnipes,33/34,,Sparely Legal,B
,Bull City Rollers,Hot Shotz,31/32,,Valley Of The Balls,Roll Your Own,31/32,,The Guttersnipes,B
,Village Idiots,Roll Your Own,29/30,,Lucky Strikes,Gutter Mouths,29/30,,Pin Pricks,B
,Wild Llamas,Valley Of The Balls,27/28,,Bull City Rollers,The Boom Kings,27/28,,Wild Llamas,B
,Blame It On the Lane,The Guttersnipes,25/26,,Solid Bowled,Gutterglory,25/26,,Blame It on the Lane,B
,E-Bowla,Sparely Legal,23/24,,Hot Shotz,Pin-Ups,23/24,,Roll Your Own,B
,Jive Turkeys,Pin Pricks,21/22,,Fancy Pants,Bowl'd Peanuts,21/22,,Village Idiots,B
,,,,,,,,,,
11-Aug,E-Bowla,Roll Your Own,39/40,20-Oct,Gutterglory,Lucky Strikes,39/40,,,
,Blame It On the Lane,Village Idiots,37/38,,Bowl'd Peanuts,Hot Shotz,37/38,,,
,Jive Turkeys,The Guttersnipes,35/36,,The Boom Kings,Fancy Pants,35/36,,,
,Valley Of The Balls,Sparely Legal,33/34,,Gutter Mouths,Bull City Rollers,33/34,,,
,Wild Llamas,Pin Pricks,31/32,,Pin-Ups,Solid Bowled,31/32,,,
,Gutter Mouths,The Boom Kings,29/30,,Wild Llamas,E-Bowla,29/30,,,
,Lucky Strikes,Bowl'd Peanuts,27/28,,Roll Your Own,Pin Pricks,27/28,,,
,Bull City Rollers,Pin-Ups,25/26,,Village Idiots,Valley Of The Balls,25/26,,,
,Fancy Pants,Solid Bowled,23/24,,Blame It On the Lane,Jive Turkeys,23/24,,,
,Gutterglory,Hot Shotz,21/22,,The Guttersnipes,Sparely Legal,21/22,,,
,,,,,,,,,,
25-Aug,Bull City Rollers,Gutterglory,39/40,3-Nov,Valley Of The Balls,Jive Turkeys,39/40,,,
,Bowl'd Peanuts,Pin-Ups,37/38,,Sparely Legal,Blame It On the Lane,37/38,,,
,Lucky Strikes,Fancy Pants,35/36,,Pin Pricks,E-Bowla,35/36,,,
,Gutter Mouths,Hot Shotz,33/34,,Roll Your Own,Wild Llamas,33/34,,,
,The Boom Kings,Solid Bowled,31/32,,The Guttersnipes,Village Idiots,31/32,,,
,Jive Turkeys,Wild Llamas,29/30,,Fancy Pants,Bull City Rollers,29/30,,,
,Roll Your Own,The Guttersnipes,27/28,,Solid Bowled,Gutter Mouths,27/28,,,
,E-Bowla,Valley Of The Balls,25/26,,Hot Shotz,Lucky Strikes,25/26,,,
,Blame It On the Lane,Pin Pricks,23/24,,Bowl'd Peanuts,Gutterglory,23/24,,,
,Village Idiots,Sparely Legal,21/22,,Pin-Ups,The Boom Kings,21/22,,,
,,,,,,,,,,
8-Sep,Pin Pricks,Valley Of The Balls,39/40,10-Nov,Playoffs (1st rd),,,,,
,Sparely Legal,Jive Turkeys,37/38,17-Nov,Playoffs (Finals),,,,,
,Roll Your Own,Blame It On the Lane,35/36,,,,,,,
,Wild Llamas,Village Idiots,33/34,,If you are down a,,,,,
,The Guttersnipes,E-Bowla,31/32,,bowler (best to ,,,,,
,Hot Shotz,Fancy Pants,29/30,,worst solution):,,,,,
,Solid Bowled,Bull City Rollers,27/28,,1. Eligible Subs,,,,,
,Bowl'd Peanuts,Gutter Mouths,25/26,,2. Prebowling ,,,,,
,Gutterglory,The Boom Kings,23/24,,3. New Subs ,,,,,
,Pin-Ups,Lucky Strikes,21/22,,4. Penalty,,,,,
