SPLITZKRIEG SCHEDULE SEASON XV,,,,,,,,,,,
,,,Lane,,,,Lane,,,,
,,,,,,,,,division,,team
12-Jan,Gutter Mouths,Wild Llamas,25/26,23-Mar,Mom Ballerz,Fancy Pants,25/26,,,,
,The Guttersnipes,Hot Shotz,23/24,,Bowl'd Peanuts,Jive Turkeys,23/24,,A,,Hot Shotz
,E-Bowla,Pin-Ups,21/22,,The Boom Kings,Blame It On The Lane,21/22,,A,,Wild Llamas
,Lucky Strikes,Roll Your Own,19/20,,Sparely Legal,Solid Bowled,19/20,,A,,Pin-Ups
,Valley Of The Balls,Gutterglory,17/18,,Bull City Rollers,Village Idiots,17/18,,A,,Valley of the Balls
,The Boom Kings,Mom Ballerz,15/16,,Hot Shotz,Wild Llamas,15/16,,A,,E-Bowla
,Sparely Legal,Fancy Pants,13/14,,Valley Of The Balls,Lucky Strikes,13/14,,A,,Lucky Strikes
,Bull City Rollers,Blame It On The Lane,11/12,,The Guttersnipes,Pin-Ups,11/12,,A,,Gutter Mouths
,Jive Turkeys,Solid Bowled,9/10,,Gutter Mouths,Roll Your Own,9/10,,A,,Roll Your Own
,Bowl'd Peanuts,Village Idiots,7/8,,E-Bowla,Gutterglory,7/8,,A,,Gutterglory
,,,,,,,,,A,,The Guttersnipes
26-Jan,Solid Bowled,Village Idiots,25/26,6-Apr,Gutter Mouths,The Guttersnipes,25/26,,,,
,Blame It On The Lane,Jive Turkeys,23/24,,E-Bowla,Hot Shotz,23/24,,,,
,Fancy Pants,Bull City Rollers,21/22,,Roll Your Own,Valley Of The Balls,21/22,,B,,Sparely Legal
,Mom Ballerz,Sparely Legal,19/20,,Gutterglory,Pin-Ups,19/20,,B,,The Boom Kings
,The Boom Kings,Bowl'd Peanuts,17/18,,Lucky Strikes,Wild Llamas,17/18,,B,,Solid Bowled
,Roll Your Own,Gutterglory,15/16,,Sparely Legal,The Boom Kings,15/16,,B,,Jive Turkeys
,Pin-Ups,Lucky Strikes,13/14,,Bull City Rollers,Mom Ballerz,13/14,,B,,Village Idiots
,Wild Llamas,E-Bowla,11/12,,Solid Bowled,Bowl'd Peanuts,11/12,,B,,Bowl'd Peanuts
,Hot Shotz,Gutter Mouths,9/10,,Village Idiots,Blame It On The Lane,9/10,,B,,Bull City Rollers
,The Guttersnipes,Valley Of The Balls,7/8,,Jive Turkeys,Fancy Pants,7/8,,B,,Blame It On the Lane
,,,,,,,,,B,,Fancy Pants
9-Feb,Roll Your Own,Wild Llamas,25/26,20-Apr,Bowl'd Peanuts,Sparely Legal,25/26,,B,,Mom Ballerz
,Valley Of The Balls,Pin-Ups,23/24,,Fancy Pants,Village Idiots,23/24,,,,
,Gutterglory,Hot Shotz,21/22,,Mom Ballerz,Jive Turkeys,21/22,,,,
,E-Bowla,Gutter Mouths,19/20,,The Boom Kings,Bull City Rollers,19/20,,,,
,Lucky Strikes,The Guttersnipes,17/18,,Blame It On The Lane,Solid Bowled,17/18,,,,
,Solid Bowled,Fancy Pants,15/16,,Valley Of The Balls,Gutter Mouths,15/16,,,,
,Bowl'd Peanuts,Blame It On The Lane,13/14,,Wild Llamas,Gutterglory,13/14,,,,
,Village Idiots,Mom Ballerz,11/12,,Hot Shotz,Lucky Strikes,11/12,,,,
,Bull City Rollers,Sparely Legal,9/10,,The Guttersnipes,E-Bowla,9/10,,,,
,Jive Turkeys,The Boom Kings,7/8,,Pin-Ups,Roll Your Own,7/8,,,,
,,,,,,,,,,,
23-Feb,Bull City Rollers,Bowl'd Peanuts,25/26,4-May,Lucky Strikes,E-Bowla,25/26,,,,
,Fancy Pants,Blame It On The Lane,23/24,,Roll Your Own,The Guttersnipes,23/24,,,,
,Sparely Legal,Jive Turkeys,21/22,,Gutterglory,Gutter Mouths,21/22,,,,
,The Boom Kings,Village Idiots,19/20,,Wild Llamas,Valley Of The Balls,19/20,,,,
,Mom Ballerz,Solid Bowled,17/18,,Pin-Ups,Hot Shotz,17/18,,,,
,E-Bowla,Valley Of The Balls,15/16,,Jive Turkeys,Bull City Rollers,15/16,,,,
,Wild Llamas,Pin-Ups,13/14,,Solid Bowled,The Boom Kings,13/14,,,,
,Gutter Mouths,Lucky Strikes,11/12,,Village Idiots,Sparely Legal,11/12,,,,
,The Guttersnipes,Gutterglory,9/10,,Fancy Pants,Bowl'd Peanuts,9/10,,,,
,Hot Shotz,Roll Your Own,7/8,,Blame It On The Lane,Mom Ballerz,7/8,,,,
,,,,,,,,,,,
9-Mar,Gutterglory,Lucky Strikes,25/26,11-May,Playoffs (1st rd),,,,,,
,Roll Your Own,E-Bowla,23/24,18-May,Playoffs (Finals),,,,,,
,Wild Llamas,The Guttersnipes,21/22,,,,,,,,
,Valley Of The Balls,Hot Shotz,19/20,,If you are down a,,,,,,
,Pin-Ups,Gutter Mouths,17/18,,bowler (best to ,,,,,,
,Village Idiots,Jive Turkeys,15/16,,worst solution):,,,,,,
,Solid Bowled,Bull City Rollers,13/14,,1. Eligible Subs,,,,,,
,Fancy Pants,The Boom Kings,11/12,,2. Prebowling ,,,,,,
,Bowl'd Peanuts,Mom Ballerz,9/10,,3. New Subs ,,,,,,
,Blame It On The Lane,Sparely Legal,7/8,,4. Penalty,,,,,,
