SPLITZKRIEG SCHEDULE SEASON XVI,,,,,,,,,,
,,,Lane,,,,Lane,,division,team
,,,,,,,,,,
13-Jul,Gutter Mouths,Bull City Rollers,25/26,21-Sep,Village Idiots,Valley Of The Balls,25/26,,A,Stinky Cheese
,Bowl'd Peanuts,E-Bowla,23/24,,Wild Llamas,The Boom Kings,23/24,,A,Pin-Ups
,Jive Turkeys,The Guttersnipes,21/22,,Lucky Strikes,Werewolf Splitzers,21/22,,A,Lucky Strikes
,Hot Shotz,Fancy Pants,19/20,,Solid Bowled,Stinky Cheese,19/20,,A,Werewolf Splitzers
,Sparely Legal,Gutterglory,17/18,,Pin-Ups,Mom Ballerz,17/18,,A,Solid Bowled
,Lucky Strikes,Village Idiots,15/16,,E-Bowla,Bull City Rollers,15/16,,A,Village Idiots
,Solid Bowled,Valley Of The Balls,13/14,,Sparely Legal,Hot Shotz,13/14,,A,Mom Ballerz
,Pin-Ups,Werewolf Splitzers,11/12,,Bowl'D Peanuts,The Guttersnipes,11/12,,A,The Boom Kings
,The Boom Kings,Stinky Cheese,9/10,,Gutter Mouths,Fancy Pants,9/10,,A,Valley of the Balls
,Wild Llamas,Mom Ballerz,7/8,,Jive Turkeys,Gutterglory,7/8,,A,Wild Llamas
,,,,,,,,,,
27-Jul,Stinky Cheese,Mom Ballerz,25/26,5-Oct,Gutter Mouths,Bowl'D Peanuts,25/26,,,
,Werewolf Splitzers,The Boom Kings,23/24,,Jive Turkeys,E-Bowla,23/24,,B,Jive Turkeys
,Valley Of The Balls,Pin-Ups,21/22,,Fancy Pants,Sparely Legal,21/22,,B,Bull City Rollers
,Village Idiots,Solid Bowled,19/20,,Gutterglory,The Guttersnipes,19/20,,B,Fancy Pants
,Lucky Strikes,Wild Llamas,17/18,,Hot Shotz,Bull City Rollers,17/18,,B,Gutterglory
,Fancy Pants,Gutterglory,15/16,,Solid Bowled,Lucky Strikes,15/16,,B,Gutter Mouths
,The Guttersnipes,Hot Shotz,13/14,,Pin-Ups,Village Idiots,13/14,,B,The Guttersnipes
,Bull City Rollers,Jive Turkeys,11/12,,Stinky Cheese,Wild Llamas,11/12,,B,E-Bowla
,E-Bowla,Gutter Mouths,9/10,,Mom Ballerz,Werewolf Splitzers,9/10,,B,Hot Shotz
,Bowl'D Peanuts,Sparely Legal,7/8,,The Boom Kings,Valley Of The Balls,7/8,,B,Sparely Legal
,,,,,,,,,B,Bowl'd Peanuts
10-Aug,Fancy Pants,Bull City Rollers,25/26,19-Oct,Wild Llamas,Solid Bowled,25/26,,,
,Sparely Legal,The Guttersnipes,23/24,,Valley Of The Balls,Mom Ballerz,23/24,,,
,Gutterglory,E-Bowla,21/22,,Village Idiots,The Boom Kings,21/22,,,
,Jive Turkeys,Gutter Mouths,19/20,,Lucky Strikes,Pin-Ups,19/20,,,
,Hot Shotz,Bowl'D Peanuts,17/18,,Werewolf Splitzers,Stinky Cheese,17/18,,,
,Stinky Cheese,Valley Of The Balls,15/16,,Sparely Legal,Gutter Mouths,15/16,,,
,Wild Llamas,Werewolf Splitzers,13/14,,Bull City Rollers,Gutterglory,13/14,,,
,Mom Ballerz,Village Idiots,11/12,,E-Bowla,Hot Shotz,11/12,,,
,Pin-Ups,Solid Bowled,9/10,,Bowl'D Peanuts,Jive Turkeys,9/10,,,
,The Boom Kings,Lucky Strikes,7/8,,The Guttersnipes,Fancy Pants,7/8,,,
,,,,,,,,,,
24-Aug,Pin-Ups,Wild Llamas,25/26,2-Nov,Hot Shotz,Jive Turkeys,25/26,,,
,Valley Of The Balls,Werewolf Splitzers,23/24,,Fancy Pants,Bowl'D Peanuts,23/24,,,
,Solid Bowled,The Boom Kings,21/22,,Gutterglory,Gutter Mouths,21/22,,,
,Lucky Strikes,Mom Ballerz,19/20,,Bull City Rollers,Sparely Legal,19/20,,,
,Village Idiots,Stinky Cheese,17/18,,The Guttersnipes,E-Bowla,17/18,,,
,Jive Turkeys,Sparely Legal,15/16,,The Boom Kings,Pin-Ups,15/16,,,
,Bull City Rollers,The Guttersnipes,13/14,,Stinky Cheese,Lucky Strikes,13/14,,,
,Gutter Mouths,Hot Shotz,11/12,,Mom Ballerz,Solid Bowled,11/12,,,
,Bowl'D Peanuts,Gutterglory,9/10,,Valley Of The Balls,Wild Llamas,9/10,,,
,E-Bowla,Fancy Pants,7/8,,Werewolf Splitzers,Village Idiots,7/8,,,
,,,,,,,,,,
7-Sep,Gutterglory,Hot Shotz,25/26,9-Nov,Playoffs (1st rd),,,,,
,Fancy Pants,Jive Turkeys,23/24,16-Nov,Playoffs (Finals),,,,,
,Bull City Rollers,Bowl'D Peanuts,21/22,,,,,,,
,Sparely Legal,E-Bowla,19/20,,If you are down a,,,,,
,The Guttersnipes,Gutter Mouths,17/18,,bowler (best to ,,,,,
,Mom Ballerz,The Boom Kings,15/16,,worst solution):,,,,,
,Stinky Cheese,Pin-Ups,13/14,,1. Eligible Subs,,,,,
,Valley Of The Balls,Lucky Strikes,11/12,,2. Prebowling ,,,,,
,Wild Llamas,Village Idiots,9/10,,3. New Subs ,,,,,
,Werewolf Splitzers,Solid Bowled,7/8,,4. Penalty,,,,,
