SPLITZKRIEG SCHEDULE SEASON XVIII,,,,,,,
,,,Lane,,,,Lane
,,,,,,,
18-Jul,Stinky Cheese,The Guttersnipes,25/26,26-Sep,Valley Of The Balls,Jive Turkeys,25/26
,Gutterglory,Pin-Ups,23/24,,Fancy Pants,Smokeable Fernet,23/24
,The Boom Kings,Werewolf Splitzers,21/22,,Bull City Rollers,Village Idiots,21/22
,Gutter Mouths,Wild Llamas,19/20,,Hot Shotz,Sparely Legal,19/20
,Lucky Strikes,Bowl'd Peanuts,17/18,,Mom Ballerz,E-Bowla,17/18
,Fancy Pants,Bull City Rollers,15/16,,Pin-Ups,Werewolf Splitzers,15/16
,Mom Ballerz,Valley Of The Balls,13/14,,Gutterglory,Gutter Mouths,13/14
,Hot Shotz,Jive Turkeys,11/12,,The Guttersnipes,Wild Llamas,11/12
,E-Bowla,Village Idiots,9/10,,The Boom Kings,Bowl'd Peanuts,9/10
,Smokeable Fernet,Sparely Legal,7/8,,Stinky Cheese,Lucky Strikes,7/8
,,,,,,,
1-Aug,Bull City Rollers,Valley Of The Balls,25/26,10-Oct,Wild Llamas,Lucky Strikes,25/26
,Fancy Pants,Jive Turkeys,23/24,,Werewolf Splitzers,Gutter Mouths,23/24
,Hot Shotz,Smokeable Fernet,21/22,,Stinky Cheese,Bowl'd Peanuts,21/22
,Sparely Legal,E-Bowla,19/20,,The Guttersnipes,Gutterglory,19/20
,Mom Ballerz,Village Idiots,17/18,,Pin-Ups,The Boom Kings,17/18
,Gutterglory,Wild Llamas,15/16,,Village Idiots,Smokeable Fernet,15/16
,Stinky Cheese,Werewolf Splitzers,13/14,,Jive Turkeys,E-Bowla,13/14
,The Boom Kings,Lucky Strikes,41224,,Fancy Pants,Sparely Legal,11/12
,Bowl'd Peanuts,Gutter Mouths,41161,,Bull City Rollers,Mom Ballerz,9/10
,The Guttersnipes,Pin-Ups,8-Jul,,Valley Of The Balls,Hot Shotz,7/8
,,,,,,,
15-Aug,E-Bowla,Hot Shotz,25/26,24-Oct,Fancy Pants,Hot Shotz,25/26
,Sparely Legal,Valley Of The Balls,23/24,,Sparely Legal,Mom Ballerz,23/24
,Smokeable Fernet,Mom Ballerz,21/22,,Bull City Rollers,E-Bowla,21/22
,Village Idiots,Fancy Pants,19/20,,Jive Turkeys,Village Idiots,19/20
,Jive Turkeys,Bull City Rollers,17/18,,Valley Of The Balls,Smokeable Fernet,17/18
,Werewolf Splitzers,The Guttersnipes,15/16,,Stinky Cheese,The Boom Kings,15/16
,Bowl'd Peanuts,Pin-Ups,13/14,,Bowl'd Peanuts,Gutterglory,13/14
,Lucky Strikes,Gutterglory,11/12,,The Guttersnipes,Gutter Mouths,11/12
,Wild Llamas,Stinky Cheese,9/10,,Werewolf Splitzers,Wild Llamas,9/10
,Gutter Mouths,The Boom Kings,7/8,,Pin-Ups,Lucky Strikes,7/8
,,,,,,,
29-Aug,Werewolf Splitzers,Bowl'd Peanuts,25/26,7-Nov,Village Idiots,Hot Shotz,25/26
,The Boom Kings,Gutterglory,23/24,,Smokeable Fernet,E-Bowla,23/24
,Wild Llamas,Pin-Ups,21/22,,Jive Turkeys,Mom Ballerz,21/22
,Lucky Strikes,The Guttersnipes,19/20,,Valley Of The Balls,Fancy Pants,19/20
,Gutter Mouths,Stinky Cheese,17/18,,Sparely Legal,Bull City Rollers,17/18
,Jive Turkeys,Sparely Legal,15/16,,Pin-Ups,Stinky Cheese,15/16
,Hot Shotz,Mom Ballerz,13/14,,Wild Llamas,The Boom Kings,13/14
,Village Idiots,Valley Of The Balls,11/12,,Werewolf Splitzers,Gutterglory,11/12
,Smokeable Fernet,Bull City Rollers,9/10,,Lucky Strikes,Gutter Mouths,9/10
,E-Bowla,Fancy Pants,7/8,,Bowl'd Peanuts,The Guttersnipes,7/8
,,,,,,,
12-Sep,Bowl'd Peanuts,Wild Llamas,25/26,14-Nov,Playoffs (1st rd),,
,The Boom Kings,The Guttersnipes,23/24,21-Nov,Playoffs (Finals),,
,Gutter Mouths,Pin-Ups,21/22,,,,
,Lucky Strikes,Werewolf Splitzers,19/20,,If you are down a,,
,Gutterglory,Stinky Cheese,17/18,,bowler (best to ,,
,Sparely Legal,Village Idiots,15/16,,worst solution):,,
,Hot Shotz,Bull City Rollers,13/14,,1. Eligible Subs,,
,E-Bowla,Valley Of The Balls,11/12,,2. Prebowling ,,
,Smokeable Fernet,Jive Turkeys,9/10,,3. New Subs ,,
,Mom Ballerz,Fancy Pants,7/8,,4. Penalty,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,, ,,,,
