Week,Match,Team1,Team2
1,1,Bowl Derek,Sparely Legal
1,2,Pin and Tonix,E-Bowla
1,3,Pin Pricks,intimiDACIAN
1,4,Hot Shotz,Solid Bowled
1,5,Over the Shoulder Bowler Holders,He Hates These Pins
1,6,Gutterglory,Pin-Ups
1,7,The Boom Kings,Lucky Strikes
1,8,Gutter Mouths,Fancy Pants
1,9,Beastie Balls,Jive Turkeys
2,1,Bowl Derek,Pin Pricks
2,2,Pin and Tonix,Sparely Legal
2,3,Beastie Balls,intimiDACIAN
2,4,Hot Shotz,Fancy Pants
2,5,Over the Shoulder Bowler Holders,Gutterglory
2,6,Lucky Strikes,Pin-Ups
2,7,The Boom Kings,He Hates These Pins
2,8,Gutter Mouths,Solid Bowled
2,9,E-Bowla,Jive Turkeys
3,1,Beastie Balls,Pin Pricks
3,2,Jive Turkeys,Sparely Legal
3,3,Pin and Tonix,intimiDACIAN
3,4,Hot Shotz,Gutter Mouths
3,5,The Boom Kings,Gutterglory
3,6,Over the Shoulder Bowler Holders,Lucky Strikes
3,7,Pin-Ups,He Hates These Pins
3,8,Solid Bowled,Fancy Pants
3,9,E-Bowla,Bowl Derek
4,1,Beastie Balls,Pin and Tonix
4,2,Jive Turkeys,Pin Pricks
4,3,Bowl Derek,intimiDACIAN
4,4,He Hates These Pins,Gutter Mouths
4,5,The Boom Kings,Hot Shotz
4,6,Sparely Legal,Lucky Strikes
4,7,Pin-Ups,Solid Bowled
4,8,Over the Shoulder Bowler Holders,Fancy Pants
4,9,E-Bowla,Gutterglory
5,1,Fancy Pants,Pin and Tonix
5,2,Jive Turkeys,Solid Bowled
5,3,He Hates These Pins,intimiDACIAN
5,4,Lucky Strikes,Gutter Mouths
5,5,Bowl Derek,Hot Shotz
5,6,Sparely Legal,E-Bowla
5,7,Pin-Ups,Beastie Balls
5,8,Over the Shoulder Bowler Holders,The Boom Kings
5,9,Pin Pricks,Gutterglory
6,1,Fancy Pants,E-Bowla
6,2,Jive Turkeys,Gutter Mouths
6,3,The Boom Kings,intimiDACIAN
6,4,Lucky Strikes,Beastie Balls
6,5,Bowl Derek,Pin and Tonix
6,6,Sparely Legal,Solid Bowled
6,7,Pin-Ups,Pin Pricks
6,8,Over the Shoulder Bowler Holders,Hot Shotz
6,9,He Hates These Pins,Gutterglory
7,1,Lucky Strikes,E-Bowla
7,2,Jive Turkeys,intimiDACIAN
7,3,The Boom Kings,Fancy Pants
7,4,Bowl Derek,Beastie Balls
7,5,Pin Pricks,Pin and Tonix
7,6,Sparely Legal,He Hates These Pins
7,7,Pin-Ups,Hot Shotz
7,8,Over the Shoulder Bowler Holders,Solid Bowled
7,9,Gutter Mouths,Gutterglory
8,1,Lucky Strikes,Gutterglory
8,2,Over the Shoulder Bowler Holders,intimiDACIAN
8,3,The Boom Kings,Pin Pricks
8,4,He Hates These Pins,Beastie Balls
8,5,Jive Turkeys,Pin and Tonix
8,6,Sparely Legal,Hot Shotz
8,7,Pin-Ups,Fancy Pants
8,8,E-Bowla,Solid Bowled
8,9,Bowl Derek,Gutter Mouths
9,1,intimiDACIAN,Gutterglory
9,2,The Boom Kings,Beastie Balls
9,3,Gutter Mouths,Sparely Legal
9,4,Bowl Derek,Solid Bowled
9,5,Over the Shoulder Bowler Holders,Pin-Ups
9,6,Lucky Strikes,Pin Pricks
9,7,Hot Shotz,Pin and Tonix
9,8,Jive Turkeys,Fancy Pants
9,9,E-Bowla,He Hates These Pins
10,1,intimiDACIAN,Lucky Strikes
10,2,Beastie Balls,Over the Shoulder Bowler Holders
10,3,Pin and Tonix,Solid Bowled
10,4,E-Bowla,Gutter Mouths
10,5,Sparely Legal,Gutterglory
10,6,He Hates These Pins,Pin Pricks
10,7,Hot Shotz,Jive Turkeys
10,8,The Boom Kings,Pin-Ups
10,9,Bowl Derek,Fancy Pants
