Season,Division,Team,CSV Rank,CSV Wins,CSV XP,CSV Total,Computed Wins,Computed XP,Computed Total,Win Diff,XP Diff,Total Diff,Computed Rank,Rank Change
XXVI,A,"Stinky Cheese",1,17,19,53,17,19,53,0,0,0,1,0
XXVI,A,"The Boom Kings",2,15,18,48,16,18,50,1,0,2,2,0
XXVI,A,"Gutter Mouths",3,16.5,12,45,16.5,13,46,0,1,1,3,0
XXVI,A,"E-Bowla",4,14,16,44,14,16,44,0,0,0,4,0
XXVI,A,"Valley of the Balls",5,15,13,43,14,13,41,-1,0,-2,5,0
XXVI,A,"Vandal-Lane Industries",6,12.5,15,40,12,14,38,-0.5,-1,-2,6,0
XXVI,A,"The Guttersnipes",7,11,9,31,11.5,10,33,0.5,1,2,7,0
XXVI,A,"Lucky Strikes",8,8.5,9,26,7.5,10,25,-1,1,-1,8,0
XXVI,A,"Pin-Ups",9,5.5,8,19,6,7,19,0.5,-1,0,9,0
XXVI,B,"Sparadigm Shift",1,18,18,54,19,21,59,1,3,5,1,0
XXVI,B,"Wolf Splitzers",2,17,16,50,17,16,50,0,0,0,2,0
XXVI,B,"Gutterglory",3,16,17,49,16,18,50,0,1,1,2,1
XXVI,B,"Sparely Legal",4,14.5,17,46,12.5,17,42,-2,0,-4,6,-2
XXVI,B,"Wild Llamas",4,16,14,46,15,16,46,-1,2,0,5,-1
XXVI,B,"Pindemics",6,13.5,13,40,17,13,47,3.5,0,7,4,2
XXVI,B,"Hot Shotz",7,13,13,39,12.5,14,39,-0.5,1,0,7,0
XXVI,B,"Fancy Pants",8,9,11,29,8.5,10,27,-0.5,-1,-2,9,-1
XXVI,B,"Village COVIDiots",9,10,7,27,11,7,29,1,0,2,8,1
XXVII,A,"Wolf Splitzers",1,13,13,39,13,12,38,0,-1,-1,1,0
XXVII,A,"Stinky Cheese",2,8,13,29,8,13,29,0,0,0,2,0
XXVII,A,"Sparely Legal",3,6,10,22,6,9,21,0,-1,-1,3,0
XXVII,A,"Smoke-a-Bowl",4,7,6,20,7,7,21,0,1,1,3,1
XXVII,A,"Gutter Mouths",5,6,4,16,6,2,14,0,-2,-2,6,-1
